neutral,Trabajar en #Ryanair como #TMA: https://t.co/ruUArBe1tO #empleo
neutral,@Iberia @FIONAFERRER Cuando gusten en Cancún se viaja y disfruta de manera sin igual
negative,"Sabiais que @Iberia te trata muy bien en santiago de chile?Te cambia el asiento,te manda a volar en el wc trasero,e… https://t.co/uansbOnn69"
negative,"NUNCA NUNCA NUNCA pidáis el café de Ryanair.
Bueno, nada que vendan a bordo."
positive,@cris_tortu @dakar @Iberia @Mitsubishi_ES @BFGoodrichEU @BurgosTur @ASTIntlogistics @Uremovil @karbium Muchos éxito… https://t.co/Ed9VrKyVU7
positive,"@mgd_1970 Wow que bonito , yo solo he volado unas 3 o 4 veces en un 747 de @Iberia y siempre fue a tu tierra :)"
neutral,Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡… https://t.co/WuuJr2dOGE
positive,Barómetro #Business: Iberia (57%) y Vueling (61%) son las compañías aéreas más utilizadas en los #viajes de… https://t.co/jl80ib9JYr
positive,@Iberia Felicitaciones IBERIA!
neutral,"@cbellolio @Iberia @NuevoPudahuel Chuata, yo tengo un Madrid - Stgo en un par de semanas. Habrá que cruzar los dedos!"
neutral,"Disponibilidad aérea Internacional en los siguientes destinos:
 ✈ARGENTINA-GOL AIRLINES 600$
 ✈MADRID-IBERIA AIRLIN… https://t.co/jjIvKQBEaS"
neutral,Ahora... https://t.co/f3pEPIg2OI
neutral,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/uOlJ07jA3l"
neutral,"Air France KLM, al igual que Iberia, eliminó la duplicidad de avales de las agencias | Nexotur https://t.co/zHSwQ0B4ZB"
negative,Un año de estos nos unirán con el resto de iberia. ¿No decían en Cataluña que el AVE en Galicia no era rentable? https://t.co/qDPzFbc5oT
negative,@Alpaniagu Lo de ryanair es penoso...yo sólo viajo con ellos si no tengo otra alternativa...
negative,"@Iberia Además, he intentado hacer d nuevo la compracon otra tarjeta y no me lo permite aunq en la tarjeta tenga di… https://t.co/ik1qsMfrrE"
positive,"@algoqrecordar @Iberia  @viajarlocura @lacosmopolilla   @WanderlustTB @TragaViajes  Una suerte poder volar, pero especialmente aterrizar 👉✌😜"
neutral,La mejor foto tecnológica del año 2017 https://t.co/c2gDhu1Fe3 #WomenInTechSpain #redhat @juliaberp_julia Red Hat Iberia Country Manager
positive,"📉 🔥 ¡Chollo! Maleta Aerolite barata por sólo 37,99 € Enlace: https://t.co/4lfu1HSkgP"
positive,OMG! 🤯 Estoy viendo que Iberia tiene en agosto vuelo directo a San Francisco (y vuelta) y mi corazón está saltando… https://t.co/dGK936alSu
negative,@javidevicalvaro Iberia es la ETA Militar de las aerolineas. Mis peores experiencias han sido todas con ellos
negative,@andreaesv Hola Andrea. Mi pareja ya tiene sentencia firme por el abandono de Iberia en Praga. Le han indemnizado c… https://t.co/88aFwsY9G6
negative,"@flandivar @quiz_viajero llegando a #Málaga por #Ryanair, nos pusieron una musiquita por el altavoz que nos encenti… https://t.co/rV5DNhaJGW"
negative,"@Iberia @Renfe Finalmente @renfe tuvo que proporcionarme una autorización para viajar, pero esto es lamentable y me… https://t.co/2ezAZOFqqO"
negative,"@Iberia Pues la verdad es que no. Pocas explicaciones, ninguna alternativa tenida en cuenta, etc. Dejando mucho que desear."
neutral,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/yNgJabJbSg"
neutral,En @Iberia ofrecen un 10% de descuento a los asistentes a #GijónSeCome con el código de descuento IIGIJONSECOME https://t.co/PAx6DHfUuL
negative,"@Iberia Hice una compra de pasaje y nunca llegó el mail con la confirmación, si bien figura la reserva ingresando e… https://t.co/m2sthY43us"
negative,@Iberia Acabo de venir del mostrador de Atención al cliente donde me mandan a llamar al teléfono. Lo chistoso es qu… https://t.co/A64U860bA7
negative,@C5_CDMX @AICM_mx @GobCDMX @RedFM921 @SergioyLupita @RedVialRC @ImagenTVMex @asilascosasw @CiroGomezL @MrElDiablo8… https://t.co/AEWuJpRwiY
neutral,"Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas [VIDEO] https://t.co/cZBhzfEeki"
neutral,Hoy hace 90 años que Iberia levantó el vuelo y unió Madrid y Barcelona https://t.co/uwku00eqi5
